,cid,iupacname,label
0,41,methane,meth|ane
1,180,ethane,eth|ane
2,190,propane,prop|ane
3,163,butane,but|ane
4,67,pentane,pent|ane
5,122,hexane,hex|ane
6,196,heptane,hept|ane
7,100,octane,oct|ane
8,205,nonane,non|ane
9,240,decane,dec|ane
10,62,2-methylhexane,2|-|meth|yl|hex|ane
11,165,4-ethyloctane,4|-|eth|yl|oct|ane
12,23,4-ethylheptane,4|-|eth|yl|hept|ane
13,136,4-ethyl-2-methylhexane,4|-|eth|yl|-|2|-|meth|yl|hex|ane
14,247,"2,2,3-trimethylpentane","2|,|2|,|3|-|tri|meth|yl|pent|ane"
15,11,2-bromo-5-chlorohexane,2|-|bromo|-|5|-|chloro|hex|ane
16,51,3-ethyl-2-methylhexane,3|-|eth|yl|-|2|-|meth|yl|hex|ane
17,233,2-chlorohexane,2|-|chloro|hex|ane
18,118,3-bromohexane,3|-|bromo|hex|ane
19,219,3-bromoheptane,3|-|bromo|hept|ane
20,225,"3,3-dimethylhexane","3|,|3|-|di|meth|yl|hex|ane"
21,212,2-methylpentane,2|-|meth|yl|pent|ane
22,211,"3,3,5-trimethyloctane","3|,|3|,|5|-|tri|meth|yl|oct|ane"
23,5,"4-ethyl-3,4-dimethylheptane","4|-|eth|yl|-|3|,|4|-|di|meth|yl|hept|ane"
24,193,chloroethane,chloro|eth|ane
25,190,4-propyloctane,4|-|prop|yl|oct|ane
26,137,3-ethyl-3-methylhexane,3|-|eth|yl|-|3|-|meth|yl|hex|ane
27,240,4-tert-butylnonane,4|-|tert|-|but|yl|non|ane
28,201,"3,3,4,5-tetramethyldecane","3|,|3|,|4|,|5|-|tetra|meth|yl|dec|ane"
29,160,"3-ethyl-2,4,5-trimethylhexane","3|-|eth|yl|-|2|,|4|,|5|-|tri|meth|yl|hex|ane"
30,42,"3,7-dimethylnonane","3|,|7|-|di|meth|yl|non|ane"
31,228,"3,5,7-trimethyldecane","3|,|5|,|7|-|tri|meth|yl|dec|ane"
32,22,"2,2-dimethylpentane","2|,|2|-|di|meth|yl|pent|ane"
33,96,"5-ethyl-3,4-dimethylnonane","5|-|eth|yl|-|3|,|4|-|di|meth|yl|non|ane"
34,131,"2,2,4,4-tetramethylhexane","2|,|2|,|4|,|4|-|tetra|meth|yl|hex|ane"
