index,cid,iupacname,label,file_names
5401,57240352,3-(3-chlorocyclopentyl)propanoic acid,3|-|(|3|-|chloro|cyclo|pent|yl|)|prop|an|oic acid,57240352.png
5245,54334288,2-cyano-3-[4-(ethylamino)phenyl]prop-2-enoic acid,2|-|cyano|-|3|-|[|4|-|(|eth|yl|amino|)|phen|yl|]|prop|-|2|-|en|oic acid,54334288.png
2295,12497509,2-propan-2-yloxysulfanyloxypropane,2|-|prop|an|-|2|-|yl|oxy|sulfan|yl|oxy|prop|ane,12497509.png
2908,12335,1-iodopentane,1|-|iodo|pent|ane,12335.png
7052,134883755,(2Z)-2-(1-phenylethoxyimino)acetic acid,(|2|Z)|-|2|-|(|1|-|phen|yl|eth|oxyimino|)|acet|ic acid,134883755.png
126,124,"3,3,5-trimethylhex-1-ene","3|,|3|,|5|-|tri|meth|yl|hex|-|1|-|ene",124.png
8065,145630532,6-[2-(4-hydroxyphenyl)acetyl]oxyhexanoic acid,6|-|[|2|-|(|4|-|hydroxy|phen|yl|)|acet|yl|]|oxy|hex|an|oic acid,145630532.png
1075,141257312,N-sulfidohexanenitrilium,N|-|sulfidohex|anenitrilium,141257312.png
6190,82652602,3-(5-hydroxypyridin-2-yl)propanoic acid,3|-|(|5|-|hydroxy|pyridin|-|2|-|yl|)|prop|an|oic acid,82652602.png
3909,13002795,methyl 3-(4-hydroxyphenyl)-2-methylpropanoate,meth|yl| |3|-|(|4|-|hydroxy|phen|yl|)|-|2|-|meth|yl|prop|an|oate,13002795.png
793,29,2-cyclohexylethanamine,2|-|cyclo|hex|yl|eth|an|amine,29.png
3125,259740,4-(4-chlorophenyl)butanoic acid,4|-|(|4|-|chloro|phen|yl|)|but|an|oic acid,259740.png
1752,54334594,1-iodopent-2-ene,1|-|iodo|pent|-|2|-|ene,54334594.png
3764,11458004,"(2S,3R)-3-(4-methylphenyl)oxirane-2-carboxylic acid","(|2|S|,|3R)|-|3|-|(|4|-|meth|yl|phen|yl|)|oxirane|-|2|-|carboxylic acid",11458004.png
2598,544570,1-chlorohex-1-ene,1|-|chloro|hex|-|1|-|ene,544570.png
8086,145815183,(E)-3-(4-isocyanocyclohexyl)prop-2-enoic acid,(|E|)|-|3|-|(|4|-|iso|cyano|cyclo|hex|yl|)|prop|-|2|-|en|oic acid,145815183.png
4174,17842395,7-chloroisoquinoline-3-carboxylic acid,7|-|chloro|isoquinoline|-|3|-|carboxylic acid,17842395.png
1394,118613154,(4R)-2-methyl-4-methylsulfanylpentane,(|4|R)|-|2|-|meth|yl|-|4|-|meth|yl|sulfan|yl|pent|ane,118613154.png
7068,135032133,2-cuban-1-yl-2-hydroxyacetic acid,2|-|cu|ban|-|1|-|yl|-|2|-|hydroxy|acet|ic acid,135032133.png
6813,123244524,3-(6-diazenylpyridin-3-yl)prop-2-enoic acid,3|-|(|6|-|di|azen|yl|pyridin|-|3|-|yl|)|prop|-|2|-|en|oic acid,123244524.png
2533,5356796,(Z)-oct-2-ene,(|Z|)|-|oct|-|2|-|ene,5356796.png
1123,140299154,2-chloro-2-methylbutanoyl bromide,2|-|chloro|-|2|-|meth|yl|but|an|o|yl| |bromi|de,140299154.png
2906,12339,1-methylsulfanylbutane,1|-|meth|yl|sulfan|yl|but|ane,12339.png
8005,144443391,"2-aminopyrrolo[1,2-b]pyridazine-6-carboxylic acid","2|-|amino|pyrrolo[|1|,|2|-|b]|pyridazine|-|6|-|carboxylic acid",144443391.png
3321,1581110,(Z)-3-(4-chlorophenyl)prop-2-enoic acid,(|Z|)|-|3|-|(|4|-|chloro|phen|yl|)|prop|-|2|-|en|oic acid,1581110.png
3375,2774215,"3,3-difluoro-2-oxo-3-phenylpropanoic acid","3|,|3|-|di|fluoro|-|2|-|oxo|-|3|-|phen|yl|prop|an|oic acid",2774215.png
2770,140149,"6-methylhepta-1,3,5-triene","6|-|meth|yl|hept|a|-|1|,|3|,|5|-|tri|ene",140149.png
5228,54280052,3-methoxy-2-(2-methylphenyl)prop-2-enoic acid,3|-|meth|oxy|-|2|-|(|2|-|meth|yl|phen|yl|)|prop|-|2|-|en|oic acid,54280052.png
1574,71411030,1-bromo-3-iodoprop-1-ene,1|-|bromo|-|3|-|iodo|prop|-|1|-|ene,71411030.png
2726,222657,"1,2-dibromo-2-methylpropane","1|,|2|-|di|bromo|-|2|-|meth|yl|prop|ane",222657.png
1316,123473667,1-fluoro-1-methylsulfanylpropane,1|-|fluoro|-|1|-|meth|yl|sulfan|yl|prop|ane,123473667.png
6131,76790740,3-(4-hydroxy-3-iodophenyl)-2-methylpropanoic acid,3|-|(|4|-|hydroxy|-|3|-|iodo|phen|yl|)|-|2|-|meth|yl|prop|an|oic acid,76790740.png
7495,140751638,"(Z)-2-hydroxy-3-(4-hydroxycyclohexa-2,4-dien-1-yl)prop-2-enoic acid","(|Z|)|-|2|-|hydroxy|-|3|-|(|4|-|hydroxy|cyclo|hex|a|-|2|,|4|-|di|en|-|1|-|yl|)|prop|-|2|-|en|oic acid",140751638.png
2099,15178341,bis(prop-2-enyl)silane,bis(prop|-|2|-|en|yl|)|silane,15178341.png
7786,142157833,"2-(1,3-oxazol-5-yloxy)propanoic acid","2|-|(|1|,|3|-|oxaz|ol|-|5|-|yl|oxy|)|prop|an|oic acid",142157833.png
1430,117681652,(E)-4-iodo-4-methylpent-2-ene,(|E|)|-|4|-|iodo|-|4|-|meth|yl|pent|-|2|-|ene,117681652.png
3099,230683,3-(4-hydroxyphenyl)butanoic acid,3|-|(|4|-|hydroxy|phen|yl|)|but|an|oic acid,230683.png
7137,136394958,"2-diazo-3-(2,6-difluorophenyl)-3-oxopropanoate","2|-|di|azo|-|3|-|(|2|,|6|-|di|fluoro|phen|yl|)|-|3|-|oxo|prop|an|oate",136394958.png
590,152,2-butylpentanedioic acid,2|-|but|yl|pent|ane|di|oic acid,152.png
1627,59281621,propyl thiohypoiodite,prop|yl| |thio|hypo|iodite,59281621.png
1283,123664030,methylidyne(pentan-3-yl)azanium,meth|yl|idyne|(|pent|an|-|3|-|yl|)|az|anium,123664030.png
5792,68093311,"6-amino-4a,8a-dihydronaphthalene-2-carboxylic acid","6|-|amino|-|4a|,|8a|-|di|hydro|naphthal|ene|-|2|-|carboxylic acid",68093311.png
3106,233238,3-(4-iodophenyl)propanoic acid,3|-|(|4|-|iodo|phen|yl|)|prop|an|oic acid,233238.png
3112,236646,(4-aminophenyl)sulfonylformic acid,(|4|-|amino|phen|yl|)|sulfon|yl|form|i|c acid,236646.png
7687,141375351,"3-[2,5-dichloro-4-(hydroxymethyl)phenyl]prop-2-enoic acid","3|-|[|2|,|5|-|di|chloro|-|4|-|(|hydroxy|meth|yl|)|phen|yl|]|prop|-|2|-|en|oic acid",141375351.png
5889,68984421,2-methoxy-4-methyl-3-phenylpent-2-enoic acid,2|-|meth|oxy|-|4|-|meth|yl|-|3|-|phen|yl|pent|-|2|-|en|oic acid,68984421.png
4907,36689000,"(2S)-2-(2,4,6-trimethylphenoxy)propanoic acid","(|2|S)|-|2|-|(|2|,|4|,|6|-|tri|meth|yl|phen|oxy|)|prop|an|oic acid",36689000.png
5513,59161495,2-(4-chlorophenyl)-2-fluorocyclopropane-1-carboxylic acid,2|-|(|4|-|chloro|phen|yl|)|-|2|-|fluoro|cyclo|prop|ane|-|1|-|carboxylic acid,59161495.png
5382,57157928,"(2R)-2-hydroxy-2-(4-hydroxy-3,5-dimethylphenyl)acetic acid","(|2|R|)|-|2|-|hydroxy|-|2|-|(|4|-|hydroxy|-|3|,|5|-|di|meth|yl|phen|yl|)|acet|ic acid",57157928.png
6900,123828697,"3-cyclohex-3-en-1-yl-2,3-dioxopropanoic acid","3|-|cyclo|hex|-|3|-|en|-|1|-|yl|-|2|,|3|-|di|oxo|prop|an|oic acid",123828697.png
3760,11424147,(3R)-3-azido-3-cyclohexylpropanoic acid,(|3|R)|-|3|-|azido|-|3|-|cyclo|hex|yl|prop|an|oic acid,11424147.png
4360,19888082,2-chloro-2-(4-fluorophenoxy)acetic acid,2|-|chloro|-|2|-|(|4|-|fluoro|phen|oxy|)|acet|ic acid,19888082.png
7807,142267927,(E)-4-(1-fluorocyclobutyl)but-2-enoic acid,(|E|)|-|4|-|(|1|-|fluoro|cyclo|but|yl|)|but|-|2|-|en|oic acid,142267927.png
4285,19036632,3-(6-oxooxan-2-yl)propanoic acid,3|-|(|6|-|oxo|oxan|-|2|-|yl|)|prop|an|oic acid,19036632.png
2164,13560460,2-propylsulfanylacetyl chloride,2|-|prop|yl|sulfan|yl|acet|yl| |chloride,13560460.png
3138,277674,3-(4-chlorophenyl)-3-oxopropanoic acid,3|-|(|4|-|chloro|phen|yl|)|-|3|-|oxo|prop|an|oic acid,277674.png
4561,21401562,"2-(4-chlorophenyl)-3,3,3-trifluoropropanoic acid","2|-|(|4|-|chloro|phen|yl|)|-|3|,|3|,|3|-|tri|fluoro|prop|an|oic acid",21401562.png
1426,117753526,"(3Z)-4-fluorohexa-1,3-diene","(|3|Z)|-|4|-|fluoro|hex|a|-|1|,|3|-|di|ene",117753526.png
6302,87709174,[2-(4-hydroxyphenyl)acetyl] 2-(4-hydroxyphenyl)acetate,[2|-|(|4|-|hydroxy|phen|yl|)|acet|yl|]| |2|-|(|4|-|hydroxy|phen|yl|)|acet|ate,87709174.png
8160,152284385,"2-(4-hydroxyphenyl)-4,4-dimethylpent-2-enoic acid","2|-|(|4|-|hydroxy|phen|yl|)|-|4|,|4|-|di|meth|yl|pent|-|2|-|en|oic acid",152284385.png
2650,525384,2-(2-methylpropylsulfanyl)butane,2|-|(|2|-|meth|yl|prop|yl|sulfan|yl|)|but|ane,525384.png
8082,145798723,"3-(2,2,4,4-tetrafluorocyclobutyl)prop-2-enoic acid","3|-|(|2|,|2|,|4|,|4|-|tetra|fluoro|cyclo|but|yl|)|prop|-|2|-|en|oic acid",145798723.png
4855,24963428,(2S)-3-(3-hydroxyphenyl)-2-methoxypropanoic acid,(|2|S)|-|3|-|(|3|-|hydroxy|phen|yl|)|-|2|-|meth|oxy|prop|an|oic acid,24963428.png
4207,18362219,"(E)-3-(3,5-dimethylphenyl)but-2-enoic acid","(|E|)|-|3|-|(|3|,|5|-|di|meth|yl|phen|yl|)|but|-|2|-|en|oic acid",18362219.png
4518,20982136,3-hydroxy-3-(4-hydroxyphenyl)propanoate,3|-|hydroxy|-|3|-|(|4|-|hydroxy|phen|yl|)|prop|an|oate,20982136.png
3392,3003821,3-(2-amino-6-methyl-4-sulfanylidene-1H-pyrimidin-5-yl)propanoic acid,3|-|(|2|-|amino|-|6|-|meth|yl|-|4|-|sulfan|yl|idene|-|1H|-|pyrimidin|-|5|-|yl|)|prop|an|oic acid,3003821.png
178,184,"4,4-dimethylpent-1-ene","4|,|4|-|di|meth|yl|pent|-|1|-|ene",184.png
5295,54512209,"2,7-dimethyl-2H-thiochromene-3-carboxylic acid","2|,|7|-|di|meth|yl|-|2H|-|thiochro|mene|-|3|-|carboxylic acid",54512209.png
1481,91268478,(213C)pentane,(|2|1|3|C)|pent|ane,91268478.png
2396,11040673,S-ethyl prop-2-enethioate,S|-|eth|yl| |prop|-|2|-|ene|thio|ate,11040673.png
457,84,cyclohex-3-enecarbaldehyde,cyclo|hex|-|3|-|ene|carbaldehyde,84.png
3045,97930,2-(4-bromophenyl)-2-hydroxyacetic acid,2|-|(|4|-|bromo|phen|yl|)|-|2|-|hydroxy|acet|ic acid,97930.png
8099,146014998,4-tert-butylperoxy-2-oxobutanoic acid,4|-|tert|-|but|yl|peroxy|-|2|-|oxo|but|an|oic acid,146014998.png
5172,54080744,"(E)-3-(2,3,4,5,6-pentamethylphenyl)prop-2-enoic acid","(|E|)|-|3|-|(|2|,|3|,|4|,|5|,|6|-|penta|meth|yl|phen|yl|)|prop|-|2|-|en|oic acid",54080744.png
