,cid,iupacname
0,297.png,methane
1,6324.png,ethane
2,6334.png,propane
3,7843.png,butane
4,8003.png,pentane
5,8058.png,hexane
6,8900.png,heptane
7,356.png,octane
8,8141.png,nonane
9,15600.png,decane
10,11582.png,2-methylhexane
11,85925.png,4-ethyloctane
12,16663.png,4-ethylheptane
13,18312.png,4-ethyl-2-methylhexane
14,11255.png,"2,2,3-trimethylpentane"
15,59491851.png,2-bromo-5-chlorohexane
16,86067.png,3-ethyl-2-methylhexane
17,12521.png,2-chlorohexane
18,18806.png,3-bromohexane
19,16091.png,3-bromoheptane
20,11233.png,"3,3-dimethylhexane"
21,7892.png,2-methylpentane
22,18709971.png,"3,3,5-trimethyloctane"
23,53424901.png,"4-ethyl-3,4-dimethylheptane"
24,6337.png,chloroethane
25,300478.png,4-propyloctane
26,18313.png,3-ethyl-3-methylhexane
27,57248496.png,4-tert-butylnonane
28,57491657.png,"3,3,4,5-tetramethyldecane"
29,4297120.png,"3-ethyl-2,4,5-trimethylhexane"
30,28458.png,"3,7-dimethylnonane"
31,20058852.png,"3,5,7-trimethyldecane"
32,11542.png,"2,2-dimethylpentane"
33,15732320.png,"5-ethyl-3,4-dimethylnonane"
34,521347.png,"2,2,4,4-tetramethylhexane"
35,19041.png,"2,2,5-trimethylhexane"
36,76541293.png,2-bromo-4-chloropentane
37,137854.png,"1,3-dicyclohexylpropane"
38,11229.png,"3,3-dimethylpentane"
39,11260.png,"2,3-dimethylpentane"
40,11447.png,"2,3-dimethylhexane"
41,11507.png,3-methylhexane
42,11511.png,"2,4-dimethylhexane"
43,11551.png,"2,2-dimethylhexane"
44,12048.png,3-ethylpentane
45,12096.png,3-ethylhexane
46,14018.png,3-ethyl-3-methylpentane
47,14040.png,"3-ethyl-2,4-dimethylpentane"
48,14045.png,"2,3,5-trimethylhexane"
49,15738.png,3-bromopentane
50,18314.png,3-ethyl-4-methylhexane
51,11412.png,"3,4-dimethylhexane"
52,11863.png,3-ethyl-2-methylpentane
53,13533.png,"2,3,4-trimethylhexane"
54,13534.png,"3,4-dimethylheptane"
55,14020.png,"3,3-diethylpentane"
56,28026.png,"3-ethyl-2,2-dimethylpentane"
57,28027.png,"3-ethyl-2,3-dimethylpentane"
58,41044.png,"1,2,2,3-tetrabromopropane"
59,74549.png,3-iodopentane
60,77246.png,"1,2,2-tribromobutane"
61,84466.png,"1,2,2-tribromopropane"
62,91414.png,3-bromo-3-methylpentane
63,92137.png,"1,2,3-tribromo-2-methylpropane"
64,140213.png,3-ethyl-3-methylheptane
65,142702.png,"2,2-dibromobutane"
66,521418.png,"3-ethyl-2,3-dimethylhexane"
67,521420.png,"4-ethyl-2,4-dimethylhexane"
68,521428.png,"2,3,4,4-tetramethylhexane"
69,521430.png,"3,3-diethyl-2-methylpentane"
70,521431.png,"3-ethyl-2,2,3-trimethylpentane"
71,521433.png,"3-ethyl-2,3,4-trimethylpentane"
72,522447.png,"3-ethyl-2,4-dimethylhexane"
73,527583.png,3-iodo-3-methylpentane
74,10892231.png,"1,3-dibromo-2-(bromomethyl)-2-methylpropane"
75,12405401.png,3-bromo-3-(bromomethyl)pentane
76,12545959.png,3-ethyl-3-fluoropentane
77,2565107.png,"1,1,1-tribromopropane"
78,6351.png,cyclopropane
79,9250.png,cyclobutane
80,9253.png,cyclopentane
81,8078.png,cyclohexane
82,9265.png,cycloheptane
83,9266.png,cyclooctane
84,136143.png,cyclononane
85,9267.png,cyclodecane
86,7296.png,methylcyclopentane
87,8101.png,bromohexane
88,22727.png,1-bromo-4-methylcyclohexane
89,136729.png,1-ethyl-2-methylcyclopentane
90,24880893.png,4-(bromomethyl)-3-methylheptane
91,13721375.png,"4-ethyl-1,1-dimethylcyclohexane"
92,12644944.png,"1,1-diethylcyclohexane"
93,7296.png,methylcyclopentane
94,22129036.png,1-ethyl-3-propylcyclohexane
95,90687131.png,"2-ethyl-1,4-dimethylcycloheptane"
96,17148.png,"1,2-dimethylcyclopentane"
97,148623389.png,"2,5-dimethylhexan-3-ylcyclopentane"
98,18730041.png,"1,2,3-trimethylcyclobutane"
99,557105.png,"1,3-dichlorocyclohexane"
100,727.png,"1,2,3,4,5,6-hexachlorocyclohexane"
101,6325.png,eth-1-ene
102,8252.png,prop-1-ene
103,7844.png,but-1-ene
104,8004.png,pent-1-ene
105,11597.png,hex-1-ene
106,638066.png,hex-3-ene
107,11610.png,hept-1-ene
108,8125.png,oct-1-ene
109,31285.png,non-1-ene
110,13381.png,dec-1-ene
111,13296886.png,3-chloro-2-methyloct-1-ene
112,12688387.png,5-ethyl-2-methylhept-2-ene
113,11240.png,2-methylbutene
114,123353717.png,"3,4-dimethyl-3-propan-2-ylhex-1-ene"
115,103004.png,2-ethyl-3-methylpent-1-ene
116,143842.png,3-ethyl-4-methylpent-1-ene
117,549585.png,4-bromo-2-methylbut-1-ene
118,11215.png,"2,3,3-trimethylpentane"
119,18848.png,3-methylhex-1-ene
120,18852.png,"3,3-dimethylpent-1-ene"
121,19589.png,4-methylhex-1-ene
122,19951.png,3-ethylpent-1-ene
123,20946.png,3-methylhept-1-ene
124,23866.png,"3,4-dimethylpent-1-ene"
125,25403.png,"2,3-dimethylpent-2-ene"
126,25980.png,"3,3,5-trimethylhex-1-ene"
127,27683.png,"4,5-dimethylhex-1-ene"
128,41976.png,"3,4,5-trimethylhex-1-ene"
129,66195.png,"3-methylpenta-1,4-diene"
130,77058.png,5-methylhex-1-ene
131,90238.png,"2-(bromomethyl)buta-1,3-diene"
132,92984.png,"3,5,5-trimethylhex-1-ene"
133,99888.png,5-methylhept-1-ene
134,103003.png,3-ethylhex-1-ene
135,123365.png,4-ethylhex-1-ene
136,123385.png,"2,4-dimethylhept-1-ene"
137,136863.png,"3,3-dimethylpenta-1,4-diene"
138,137073.png,"3-methylhexa-1,5-diene"
139,137924.png,"3,3-dimethylhex-1-ene"
140,137997.png,"3,4-dimethylidenehexa-1,5-diene"
141,137712.png,"1,2,3-tri(propan-2-ylidene)cyclopropane"
142,140591.png,3-ethyl-2-methylpent-1-ene
143,140592.png,3-ethyl-2-methylpent-2-ene
144,140876.png,3-bromobut-1-ene
145,141289.png,"3-ethenylpenta-1,4-diene"
146,142813.png,"1,1-bis(methylsulfanyl)ethene"
147,142817.png,"2,4,4-trimethylhex-1-ene"
148,145016.png,"3-ethenyl-4-methylpenta-1,3-diene"
149,145504.png,2-ethylsulfanyl-3-methylbut-1-ene
150,145505.png,2-ethylsulfanylbut-1-ene
151,280855.png,"1,1-dibromo-2-methylprop-1-ene"
152,518713.png,4-methylhept-1-ene
153,518909.png,"2,4-dimethylhex-2-ene"
154,519301.png,"2,4-dimethylhex-1-ene"
155,520106.png,"3,3-dimethylhexa-1,5-diene"
156,521244.png,"3,4-dimethylhexa-1,5-diene"
157,521438.png,3-bromopent-1-ene
158,521709.png,"3,3,4-trimethylpent-1-ene"
159,521733.png,"3,4,4-trimethylpent-1-ene"
160,522526.png,"3,5-dimethylhex-1-ene"
161,527089.png,"4-methylocta-1,7-diene"
162,534949.png,"3,5-dimethylhepta-1,6-diene"
163,534952.png,"2,5,5-trimethylhepta-1,6-diene"
164,538230.png,"3,4-dimethyloct-1-ene"
165,543226.png,"2,4-dimethylhexa-1,5-diene"
166,543679.png,"5-bromo-4,4-dimethylpent-1-ene"
167,548892.png,3-ethenylhex-1-ene
168,549148.png,"3-ethyl-4,5-dimethylhexa-1,4-diene"
169,7869.png,"2,4,4-trimethylpent-2-ene"
170,10429.png,1-chloro-3-methylbut-2-ene
171,11210.png,"3,3-dimethylbut-1-ene"
172,11250.png,"2,3-dimethylbut-2-ene"
173,11270.png,"2,3,4-trimethylpent-2-ene"
174,12243.png,2-methylpent-2-ene
175,12260.png,"2,4-dimethylpent-2-ene"
176,12330.png,2-methylhept-2-ene
177,12724.png,4-methylpent-1-ene
178,12984.png,"4,4-dimethylpent-1-ene"
179,13555.png,"4-methylpenta-1,3-diene"
180,18853.png,"2,5-dimethylhex-2-ene"
181,70092.png,1-bromo-3-methylbut-2-ene
182,110204.png,"3,5-dichloro-2,4,4-trimethylpent-2-ene"
183,137471.png,3-chloro-3-methylbut-1-ene
184,138971.png,"6-methylhepta-1,5-diene"
185,140138.png,3-ethylhex-3-ene
186,141675.png,4-bromopent-1-ene
187,519299.png,"2,7-dimethylocta-2,6-diene"
188,520467.png,2-bromo-3-methylbut-2-ene
189,521945.png,"2,6-dimethylhepta-2,5-diene"
190,545914.png,"2,5,5-trimethylhex-2-ene"
191,549656.png,"3,3,5-trimethylhexa-1,4-diene"
192,10037.png,propadiene
193,11535.png,"buta-1,2-diene"
194,7845.png,"buta-1,3-diene"
195,11588.png,"penta-1,2-diene"
196,62204.png,"penta-1,3-diene"
197,11587.png,"penta-1,4-diene"
198,136378.png,"penta-2,3-diene"
199,136379.png,"hexa-1,2-diene"
200,11598.png,"hexa-1,5-diene"
201,136380.png,"hexa-2,3-diene"
202,75426.png,"hepta-1,2-diene"
203,16968.png,"hepta-1,6-diene"
204,12734576.png,"hepta-2,3-diene"
205,556860.png,"hepta-3,4-diene"
206,10464316.png,"octa-1,2-diene"
207,140092.png,"octa-2,3-diene"
208,519948.png,"nona-1,2-diene"
209,78612.png,"nona-1,8-diene"
210,549311.png,"nona-2,3-diene"
211,549075.png,"nona-3,4-diene"
212,549037.png,"nona-4,5-diene"
213,10887984.png,"deca-1,2-diene"
214,15439.png,"deca-1,9-diene"
215,10931500.png,"deca-2,3-diene"
216,142130.png,"deca-3,4-diene"
217,15570326.png,"deca-4,5-diene"
218,123173.png,cyclopropene
219,69972.png,cyclobutene
220,8882.png,cyclopentene
221,8079.png,cyclohexene
222,12363.png,cycloheptene
223,638079.png,cyclooctene
224,5463153.png,cyclononene
225,5365612.png,cyclodecene
226,11572.png,4-methylcyclohexene
227,12591555.png,"3,4-dimethylcyclohexene"
228,6326.png,ethyne
229,6335.png,propyne
230,7846.png,butyne
231,12309.png,pentyne
232,12732.png,hexyne
233,12350.png,heptyne
234,12370.png,oct-1-yne
235,18937.png,nonyne
236,12997.png,decyne
237,140789.png,4-methylpent-2-yne
238,130480705.png,5-chloro-6-methyloct-1-yne
239,54112589.png,"4,4,6-trimethylhept-1-yne"
240,143462291.png,5-ethyloct-2-yne
241,9997.png,"buta-1,3-diyne"
242,138385.png,"penta-1,3-diyne"
243,141112.png,"penta-1,4-diyne"
244,138254.png,"hexa-1,3-diyne"
245,139150.png,"hexa-1,4-diyne"
246,69402.png,"hexa-1,5-diyne"
247,137727.png,"hexa-2,4-diyne"
248,11423559.png,"hepta-1,3-diyne"
249,11263471.png,"hepta-1,4-diyne"
250,561096.png,"hepta-1,5-diyne"
251,337121.png,"hepta-1,6-diyne"
252,12278364.png,"hepta-2,4-diyne"
253,13028868.png,"hepta-2,5-diyne"
254,6427770.png,"octa-1,3-diyne"
255,522621.png,"octa-1,5-diyne"
256,524955.png,"octa-1,6-diyne"
257,561376.png,"octa-2,4-diyne"
258,22224184.png,"octa-2,5-diyne"
259,136585.png,"octa-2,6-diyne"
260,140066.png,"octa-3,5-diyne"
261,12650748.png,"nona-1,3-diyne"
262,12484501.png,"nona-1,4-diyne"
263,22770158.png,"nona-1,5-diyne"
264,18429099.png,"nona-1,6-diyne"
265,14085018.png,"nona-1,7-diyne"
266,16969.png,"nona-1,8-diyne"
267,53652269.png,"nona-2,6-diyne"
268,520534.png,"nona-2,7-diyne"
269,185922.png,"nona-3,5-diyne"
270,53628738.png,"nona-3,6-diyne"
271,560912.png,"deca-1,3-diyne"
272,11062440.png,"deca-1,4-diyne"
273,104660.png,"deca-1,5-diyne"
274,19418496.png,"deca-1,6-diyne"
275,12384011.png,"deca-1,7-diyne"
276,123495930.png,"deca-1,8-diyne"
277,74400.png,"deca-1,9-diyne"
278,15626774.png,"deca-2,4-diyne"
279,123845273.png,"deca-2,7-diyne"
280,20066.png,"deca-2,8-diyne"
281,10654271.png,"deca-3,5-diyne"
282,141015351.png,"deca-3,6-diyne"
283,53404850.png,"deca-3,7-diyne"
284,140067.png,"deca-4,6-diyne"
285,18366129.png,cyclopropyne
286,20072734.png,cyclobutyne
287,14093813.png,cyclopentyne
288,11079373.png,cyclohexyne
289,10887832.png,cycloheptyne
290,137207.png,cyclooctyne
291,138773.png,cyclononyne
292,137799.png,cyclodecyne
293,241.png,benzene
294,7964.png,chlorobenzene
295,7416.png,nitrobenzene
296,1140.png,methylbenzene
297,996.png,hydroxybenzene
298,6115.png,aminobenzene
299,7237.png,ortho-dimethylbenzene
300,7237.png,o-dimethylbenzene
301,7929.png,m-dimethylbenzene
302,7809.png,p-dimethylbenzene
